Project,BIC,BFC,Bug-inducing Development Activity,Compatibility Errors,Intrinsic Errors,Location With Fixing Changes,Feature Interaction,Knowledge,Change Size,Description
yegor256/cactoos,5771bc881e19fd56c1ab3ca05a59dee5b47b4272,34b1ffdd8f154886e35f78496ec172668100f764,feat,No,Business Error,Same Location,0,Programming,448,"BIC added a restriction that an exception will be thrown if the result is null, but BFC removed this restriction."
yegor256/cactoos,3796bf19195a07490f262d3aea96313d2c23afd0,d4538f89901d3b47affcefd3ba2c26b1fd281846,feat,No,Business Error,Same Method,0,Programming,1031,"BIC implements equals(), but does not handle null"
alibaba/fastjson,c929dfe9bbebaf28315b161c8d34846ea922062e,1f846a35af90d97a6db0039e4b63e26d42f82f41,feat,Data Flow,No,Same Class,1,Project,2035,"When bic enhances parsing depth, it changes ""else"" to ""else if"", causing items that cannot be parsed to not be added to the result set"
alibaba/fastjson,7cc1a5e8fd3d021f970900a01b51442699ce36c4,6760ddf8215081adee7a806053faf0ec8ae58ba1,feat,Invocation,No,Same Class,1,Project,5814,"Bic strengthens writeString to specify single and double quotes, but forgets to write delimiters for null values ​​when using double quotes"
alibaba/fastjson,010691b365090a312d096dde96059d4fd2cb90ea,4a9ca8518545eaf6d2f3d3e437b2d2af0af57bff,fix,No,Unchecked Null,Same Location,1,Project & Domain,413,"Added detection of ref when serializing writeValue, but references may be null when serializer.references.containKeys"
alibaba/fastjson,07cb5802afe7d30e3b33cce3f69bc599c9d79e75,6c04c0bcb09a2b7d01673242bb3e37ca039b1f18,feat,Data Flow,No,Different Packages,1,Project,15261,"Parsing json string:{""@type"":""com.alibaba.fastjson.serializer.TestBean"",""data"":{""@type"":""com.alibaba.fastjson.JSONObject"",""key"":""value""},""name"":""tester""} is added to the serialized data, which causes incompatibility during deserialization."
alibaba/fastjson,1b3fe247e4138566eb1b43feae2d8f0ecda65a5c,4792fb25cc782ac7c9ac4bc4e0434751811e660b,fix,Data Flow,No,Different Packages,1,Project & Domain,2058,"The constructor adds a class parameter, which causes the class of the field to become an accurate type instead of a generic type. The type is incorrect when the method is called later."
alibaba/fastjson,89a4352e54257266615c0cb3a13ccf9149f8fd04,87151e70ef7980ffa6dcb3ed14f8b4986496886a,perf,No,Business Error,Same Method,0,Project & Domain,4614,"Override the scanFieldStringArray method to record bp as the last position, resulting in an incorrect value"
alibaba/fastjson,d2833977b4125636de66c808efc8353ce9a7a3c4,7aac9404cecf7058133bfd6f5480093946aa3eb3,perf,No,Business Error,Same Class,0,Project & Domain,1010,"After checkvalue, you should not jump directly to the end, but need to continue processing"
alibaba/fastjson,4061f6a3845e7a3ecdc3997abcd01c03e0714853,b15fa868ae7497b855091ddfde90b42d76dd27d8,feat,No,API Misuse,Same Location,1,Project & Domain,7813,"It should have been astore-iload, but was changed to insn(aconst_null)-astotre"
alibaba/fastjson,d48df21c69236ffb13213c204001be665b014540,13a32cb12db9200d960e0ec9f5690c6a022cc39f,feat,No,Business Error,Same Location,0,Domain,1194,"Add a branch when Character.isUpperCase(methodName.charAt(4)) directly gets the text after the getter, which does not conform to the assert"
alibaba/fastjson,02e9deba3f6e4356a89d54d86adac379fd5de8f4,26990ad3bfb4554e944f2d2da45fcc08b8786906,perf,No,Business Error,Same Location,0,Project,2307,"The positive long 9,223,372,036,854,775,807 is out of bounds, the negative -9,223,372,036,854,775,808 is out of bounds, BIC wants to add the boundary of negative numbers but it is wrong"
alibaba/fastjson,3d5218c9eb06ecb5c5066b3e541987e1dc8f0729,ebe948a95b398e2a2fa63c5376f24621d86c3cb3,feat,No,Business Error,Same Class,1,Project,5544,"When the value is set, writeReference will also be triggered. However, no parent is prepared for the value contxt, resulting in a null pointer. In addition, the lack of a ref value plus [] deserialization also has similar problems. This change introduces three bugs"
alibaba/fastjson,30116a9f30c28dc3bae7885b37f2d94a5db5274f,a9f054c920550f7a861c99455fa9e1b9e5ba5521,feat,No,Business Error,Same Method,0,Domain,908,"Added a method to remove [ from [java.lang.string], but did not consider that Ljava.lang.String; needs to remove L;"
alibaba/fastjson,ef50a5b756a6cab1ab753f4a661bdfb0ccbd6b7e,c3ea528564531fdf8103572add108a2e7d72eeab,fix,No,Cast Error,Same Location,1,Programming,1150,java.lang.Class cannot be cast to java.lang.reflect.ParameterizedType This code is responsible for two functions
alibaba/fastjson,d50b584f3e9ffd37d82ac0cad62c196707417957,35770dcc18f88185c17af16a8f285bb93cecbdda,perf,No,Business Error,Same Method,0,Project & Domain,10649,"Improve efficiency, omit the logic work. No matter what BP is, it will be reset to 1 and traversed again. In bic, I want to solve it by recording BP once, but I forget to record the end symbol,}"
alibaba/fastjson,67f5c9da2ce0e7582610ac9408aed99ce6557f6c,c4632d1a33c6d9fc9d6b61f00a0aa710995438ec,perf,Invocation,No,Different Packages,1,Project & Domain,7394,"Improve efficiency. When parsing reference objects in map, the new code of bic generates a new symbol scanSymbolUnQuoted which cannot be processed."
alibaba/fastjson,21c2f4b2f963c044e4adafef4ddd966661526af9,7154e20e0fa11675b700d9812d3f4da1b599325f,fix,Invocation,No,Same Package,1,Project,1790,"Bic adds code to call eval to analyze the type when refvalue=null, but there is no processing of custom objects in eval. index=0 returns the custom object type"
alibaba/fastjson,ba8f4cb77a2f37497012499660ac2a82371efc5b,fb2f4d3b37fbab3814b0b3d6c0768ca4f2e7b76e,perf,No,API Misuse,Same Location,1,Project,8910,context is a backup object used to restore serializer.contex at the end of the method. serializer.context will be pointed to a new pointer object in the newly added code. serializer.references.put(object.context) should use serializer.context
alibaba/fastjson,2f1127017be74efe89a16eb08d83dd629728faa2,0e257a3f8c96588d04e128668a61bf9ff6d0f720,fix,No,Business Error,Same Method,1,Project,625,Bic returns the writer and causes IndexOutofBoundsException
alibaba/fastjson,010fc0ab5933f3aa001b868be9d164f2bd31f231,52513b337c857fd590f07a7e6fba2c8ac2bb4edc,feat,No,Business Error,Same Method,0,Project,460,BIC hopes to add parsing logic for slashes and adds processing for \t
alibaba/fastjson,199b68352bd358cabb388a7a2d883ca233a30899,e2cfb4f3461b965e18aa941321ff08ff127abcc8,fix,Data Flow,No,Different Packages,1,Project & Domain,1630,"The way bic obtained classname was wrong before. After bic was changed to the correct way, it could not parse the package name with Chinese characters."
alibaba/fastjson,958cd4cf97d9902101a746c75c22e8a1bef337f8,b77dd28061251b7c0d8b99f3251a479591329a35,fix,No,Business Error,Same Method,1,Project & Domain,544,"Bic tries to fix the problem that when there is a LocalDateTime type in the object, the serialized json will have different DateFormat results. The default format is set to output only 3 digits; LocalDateTime nanoseconds 9 digits"
alibaba/fastjson,cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,0919985a53735120e1fbd8daa31cf482a77923b5,fix,Data Flow,No,Same Package,0,Project & Domain,1554,"BIC attempts to add serialization support for public member variables, but does not restrict modifications to public final"
alibaba/fastjson,a2f2212eff39239a2956f7fd11e03555a414c28a,d291f2ded8fed388c059fb6bb3b54e65047dc305,fix,No,Unchecked Null,Same Class,0,Programming,1524,"Bic wanted to fix the generic related multi-layer inheritance class problem, rewrote a lot of code, deleted the original null judgment logic, and the related variables were not initialized"
alibaba/fastjson,ef6c08a304ba53d376d8dcde9c4eff2476e27b40,0d272644b4ff43684260486629adc3e99cd45b66,perf,Data Flow,No,Same Location,0,Project,3242,"Bic wants to optimize the performance of deserializing floating point numbers. When the length is small, it directly calculates (numerator divided by denominator). When the numerator and denominator are large, the division error"
alibaba/fastjson,ce055537903a4f9e2c62116a0f76c2d93b287584,4fe3a168817770f7c746c871d5f48e2eded19435,fix,No,Business Error,Same Method,0,Domain,550,"BIC wants to add support for generics, but does not handle the issue of generic erasure"
alibaba/fastjson,c71dd0b58d8db5bae835c84b1d80e8823908b17b,84e4d52fb941a60317e257e60a23de31cde360ca,feat,No,Business Error,Same Method,0,Programming,1710,"BIC enhances the processing of deserialized arrays, adds judgment, but does not add full, and directly throws exception in else"
alibaba/fastjson,fbbe4f097747478c52734f811c48f50079549949,5e3b5a3156013ca5815fcb804751daf627a95806,fix,Data Flow,No,Different Packages,0,Project & Domain,2157,"Bic attempts to repair and enhance the serializer, and deletes the WriteEnumUsingToString logic, which causes the output of the enumeration type to fail to meet the specification."
alibaba/fastjson,05b9fa95d8dd353cce02d5ea55388c73bf18e1a3,9d99593150b1f721ffc3ad0feb18508de0e13717,feat,No,Business Error,Same Method,0,Project,1654,"BIC tried to fix and refactor, creating a new abstract class, but deleted some of the judgment logic"
alibaba/fastjson,ce3c5465bdbb55bce36f9acd02704fb9c04207c8,ffa02d528d1bb83476cba8d591d8ed1306775b75,feat,No,Business Error,Same Method,0,Domain,1548,"BIC adds support for time zone judgment, including the judgment of time zone being a full hour, but does not consider the case of time zone being a half hour."
alibaba/fastjson,8946cec232b4cd95b35cb804f9f747c28286cce0,12d54d284e32538830001871fd4beeda92369def,feat,No,Business Error,Same Method,0,Project & Domain,1361,"BIC adds processing conditions, and performs special processing when the key is a specified value, but the step of adding a deserializer is missing, resulting in NPE"
alibaba/fastjson,0867549b20c6a70fde8a11b41116034c2e94083b,84835dd3cfb46939eb595742ea8d7d74918034bd,fix,Invocation,No,Same Class,1,Domain,1612,"BIC adds a function to handle null collection, but the function lacks a catch for exceptions"
alibaba/fastjson,57aff945aae44d0adb86467133b3e3dc19044d5e,ba07795057a92f6af12191d5c74fff1649725565,fix,No,Business Error,Same Method,0,Programming,1203,"Bic deleted the else branch of dot=='.', resulting in no setting for millisecond"
alibaba/fastjson,d77d469a821373f6b4ac8bc52306e35fd41b0a34,d672cc22ae2857406da3f2acf2fe6a0d2346224f,fix,Data Flow,No,Different Packages,1,Project & Domain,1204,"Bic adds escape output for special characters such as @, but does not add escape processing during parsing"
alibaba/fastjson,21c2f4b2f963c044e4adafef4ddd966661526af9,89f0721acd6d121ea4dddbd3974537b2bb3ddd58,feat,Data Flow,No,Same Class,0,Project & Domain,124,"Bic adds refValue processing, and calls the eval function when getObject is null, without considering whether it is empty downstream (eval is required only when the downstream is empty, and BFC actually avoids eval)"
alibaba/fastjson,18a99f2d449321393f57d50e2fbf35ca5748fae5,341fc39f1b341ff1574e83c6cf51536cce758fcf,feat,Invocation,No,Same Package,0,Project,1161,"Bic adds nameHashCode generation, calls its own (previously) implemented string processing extract and lower, and extract does not consider the uppercase to lowercase conversion problem"
alibaba/fastjson,cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,57f99a33a0e2870c47bc3e43a4db06dd573b3503,feat,Data Flow,No,Different Packages,1,Project,124,Bic adds support for public fields. The test case is for public Date. The parsing logic of Date is not implemented in Bic.
alibaba/fastjson,76da49cce6107ff399427ee12cbb7379744a70f2,e7c824ddc115bf8bb575ce4d83d7235e0cc39bdd,feat,Data Flow,No,Different Packages,0,Project & Domain,1360,"Bic adds output of serialization type, and deserialization of empty Map is incorrect"
alibaba/fastjson,33eaec097f6cf7c23c7cf8dc08f9ca7b21f9f54c,30824c9fc7cffe0e564952160e381fbd494ee161,fix,No,Cast Error,Same Method,0,Programming,2217,"Bic modified the way to judge whether the key is empty, but the key is not necessarily a String"
alibaba/fastjson,4a00e8d4f5dea920a84fda05ff470d2b3c66c7c0,c4343c398b1ab609251bad4c13112a428aaa62ec,fix,Data Flow,No,Different Packages,0,Project & Domain,1421,"BIC assigns a value to the deserializer, but there is no related branch in deserialize, so an exception is thrown."
alibaba/fastjson,dba0e92448284de00159f8933842d2f10bc13259,2a5e510ac9ba25883cb395565ecb3b74511e2b65,fix,Data Flow,No,Same Method,0,Domain,388,"In order to correctly assign values ​​to context, BIC causes the subsequent parsing logic to be incompatible (in a large method)"
alibaba/fastjson,0c88e4961730aa81bffcaf8f480193095a114937,ec7b6c3d7fe1b5d3c9ae23b5f41241c0b423c0fe,perf,No,Business Error,Same Method,0,Domain,972,BIC introduces new conditional checks that may cause fields to be skipped during serialization
alibaba/fastjson,cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,663d57d1c7dc89b80354b6b4ae80600f4c078cfd,feat,Data Flow,No,Different Packages,1,Project & Domain,124,"BIC adds support for public fields, which is not compatible with the subsequent deserialization of fields, resulting in null pointers"
alibaba/fastjson,5bb5616218a627d3217412674d0e7e183aae10cb,54ec28b4e8e557e14ba7296432a952d3b8512c16,fix,No,Cast Error,Same Method,0,Domain,432,"BIC needs to fix the handling of generics, but does not support generics with multiple levels of inheritance"
alibaba/fastjson,d50b584f3e9ffd37d82ac0cad62c196707417957,61ff5e84fec5022c2113288721f6435d84983a65,refactor,Data Flow,No,Different Packages,0,Project & Domain,124,"BIC refactoring removes the logic related to parameter default values, and BFC gives default values ​​when deserialized to null"
alibaba/fastjson,8d74f9e5a034888610ca3199807e2eec64178210,97d0eb057803450f7cf5f6a5b67a09427880d919,fix,Data Flow,No,Different Packages,0,Domain,1407,"Bic fixes the problem of missing time data in serialized Calendar type, and adds a length limit when parsing strings, which makes it impossible to parse date strings in the correct way."
alibaba/fastjson,9a73b31ca0b97e66876481c0542d43542f6ca5d3,28b3d81c9031c8ec4a8ee80cea8e9c01a93addc9,refactor,No,Business Error,Same Method,0,Project,1236,"Bic is refactored, and the statement for updating variables is missing"
alibaba/fastjson,7b416faa1015ce04505e88d1f9b0575bcf13657f,c8c0005a1c00a3ac7622c87f9733147611494361,perf,No,Business Error,Same Method,0,Project,1586,"BIC adds judgments on different classes, and does not judge the case where method is null in the previous case"
alibaba/fastjson,76da49cce6107ff399427ee12cbb7379744a70f2,781536ff04fd6ead8c769bb2269668d32261f634,feat,No,Unchecked Null,Same Location,0,Project,124,ResolveTask not initialized correctly
alibaba/fastjson,2c5d7ce4f9a807b08bb9db8134c58839f54c3358,05b9fa95d8dd353cce02d5ea55388c73bf18e1a3,feat,Data Flow,No,Different Packages,0,Project & Domain,124,"Bic adds serialization output for sqlDate type, but does not have a matching deserialization implementation for Timestamp type"
alibaba/fastjson,660f57fc78e8f8d939b22f6ede7df353bf1aeccb,8de96c5d9368366cee7be93b6ac79ea998aac3aa,feat,No,Business Error,Same Method,0,Programming,546,"BIC adds string scanning, and there is a subscript error in the processing of escape characters"
alibaba/fastjson,473a4110a7d25fb91a2cdde4d297484d2b23818a,eeee9d4f26ba297fabc2fc55a677693f5d488195,feat,Data Flow,No,Different Packages,1,Project & Domain,1555,"Bic attempts to add serialization support for public member variables, but does not support the case where the Date type field format is not exactly equal to ""yyyy-MM-dd'T'HH:mm:ss.SSS"" (bic same as 466)"
alibaba/fastjson,07cb5802afe7d30e3b33cce3f69bc599c9d79e75,f1e7074e0e48b9b96b5a2aacead2d18c168db037,feat,Data Flow,No,Different Packages,0,Project & Domain,124,"Bic adds output of class name during serialization, and the corresponding deserialization fails"
alibaba/fastjson,91f3aff0aa635e1bca724df76ff61228012d85f7,2ff3a44892c72ce0591a4b226d89d07cc7099a89,feat,Data Flow,No,Same Package,0,Project,3086,"Bic enhances the parsing of Date type, adds judgment and field assignment logic, resulting in incompatibility"
alibaba/fastjson,1ffa44c25e367981762d2ea29f120b719846a94d,275da29e451773a8abf12dfbb58d81a8b3fa96ae,fix,No,Business Error,Same Method,0,Domain,462,"BIC solves the problem of missing information in deserialization exception classes, adds operations such as setValue, and causes exceptions in enumeration classes"
alibaba/fastjson,8d74f9e5a034888610ca3199807e2eec64178210,1150562b057d194cb802db57b085f322a0e274f0,fix,Data Flow,No,Different Packages,1,Project & Domain,124,"In order to fix the bug of losing time data in serialized Calendar, bic determines whether to use Dateformat for parsing based on fixed length, which results in an exception when trying to parse a string of type yyyy-m-d through parseLong"
alibaba/fastjson,473a4110a7d25fb91a2cdde4d297484d2b23818a,ac5a7fdbc7cc462627fa95aade4c214778eb99df,feat,Data Flow,No,Different Packages,1,Project & Domain,124,"BIC attempts to add serialization support for public member variables, but does not support parsing empty arrays as null (BIC will not add empty arrays as public fields in test cases) (BIC is the same as 466)"
alibaba/fastjson,7b416faa1015ce04505e88d1f9b0575bcf13657f,1cd7ae743ad5f4da9224617546df27d456eae2d8,perf,Invocation,No,Same Class,0,Project & Domain,124,"BIC improves performance and adds a lot of processing logic, but does not handle certain types (map/JSONObject) correctly."
alibaba/fastjson,56272ce478a1542972598a0d6ad699436139dfbb,ce11a7b93725d2bfa8b492beff8a29fe853e0d5f,fix,No,Business Error,Same Method,0,Project & Domain,1106,"Bic fixed the problem of not being able to process annotations, resulting in incompatibility with toJSONObject"
alibaba/fastjson,44b945b2ba2a72dc36ecae3ad68c01f0bd353b5f,994ef3c54ab84a9cba8849de36b36affac5db790,perf,No,Business Error,Same Method,0,Domain,4536,"In order to improve performance, bic adds a scanFieldString Array function, which does not ++index when encountering spaces"
alibaba/fastjson,34342bec4f11298c9a52997ad066c19e47726e1e,15dead6fcbb32402b9a3a4802c24f1780d6e1901,refactor,No,Business Error,Same Location,0,Domain,1468,"Bic was refactored when using binarySearch, but forgot that Arrays.binarySearch does not just return -1 for negative numbers"
alibaba/fastjson,7b416faa1015ce04505e88d1f9b0575bcf13657f,77315628fbe635ec417bc45c237527577092e742,perf,No,Business Error,Same Method,0,Project,124,"In order to improve the performance of parseObject, bic rewrote the function in the subclass, but lost the logic of class being JsonObject (which existed in the parent class)"
alibaba/fastjson,18a99f2d449321393f57d50e2fbf35ca5748fae5,e4c86bb66a3a2b521178848adf0c50a5d842f777,fix,Invocation,No,Different Packages,0,Project,1435,BIC added fnv1a_64_extract which does not consider the case issue
alibaba/fastjson,57aff945aae44d0adb86467133b3e3dc19044d5e,308968dd54726517cfe020ba54b2f7758723fcde,fix,No,Business Error,Same Method,0,Domain,124,"Bic fixed the problem of incorrect time zone parsing, and the parsing of +800 format was incorrect"
alibaba/fastjson,be167060cba49aa15fd600b0f878eda2048a4eaa,317476cee6dc6f7350d6bf0063cb22d0c9f26da5,feat,Data Flow,No,Same Package,1,Project & Domain,1445,"BIC adds the serialization capability for tab, which causes errors in date string serialization"
alibaba/fastjson,1ac787a0a6cb8ee72bd2621121cf1af6aea3f630,618c5deda4be5679ec640539d81d2c3fe50b88ca,fix,No,Business Error,Same Method,0,Project & Domain,727,"Bic wants to fix the parse empty object error and give a default empty object, but the Cloneable interface cannot be instantiated"
alibaba/fastjson,76da49cce6107ff399427ee12cbb7379744a70f2,a117a37cdf8172748dde4c00d06fca06a0ef29c4,feat,Data Flow,No,Same Package,0,Project & Domain,124,"BIC adds map reference serialization processing, but no adaptation"
alibaba/fastjson,f85f1871b1d0e5b85d8bb23abb7aef35aceb1e35,f6a05ec418f225a586f86592c3f14180d5cb3096,feat,No,Business Error,Same Method,0,Project & Domain,911,"BIC implements get and set, but does not handle fieldnames starting with an underscore correctly (substring index is incorrect)"
alibaba/fastjson,0592df5c881f0f5c2bb3ed21e59288c42c83a88d,e6a5a1298405ee2dc1118410bf26953d2175ad7c,feat,No,Unchecked Null,Same Method,0,Domain,782,"In order to enhance the support for interface annotation, bic adds a check for the parameter in isAndroid, but does not consider the empty check"
alibaba/fastjson,ef6c08a304ba53d376d8dcde9c4eff2476e27b40,f5b7a5fce0b61e7150bb27813135e1b1efb97b46,perf,No,Business Error,Same Method,0,Project & Domain,124,"In order to improve the performance of floating point parsing, BIC uses its own implementation to parse at a certain length (calculating integers based on decimal points and power division), but integer overflow occurs."
alibaba/fastjson,78568ee206ffc302c591691cebed2526a5778d9d,0ac9d327e5f8f504e07ca6d9763443b81ba9ca44,feat,Data Flow,No,Different Packages,0,Project & Domain,1656,"BIC supports parsing functions with two parameter types, but does not handle fieldInfo properly."
alibaba/fastjson,b1222868654e6d508374110ae35e48613acc45ea,a97885cf1239701c7446a5bfe548f7dd3c00a5e2,perf,No,Business Error,Same Method,0,Project & Domain,1533,"BIC has been modified, and the logic of matching the is prefix is ​​incorrect"
alibaba/fastjson,e4562183cf45c0c5f77c446350da6b89ccf49687,0ffcd17389e26eba0873fcb34e5ae03c8bf3e230,perf,No,Business Error,Same Method,0,Project,1147,BIC handles the type incorrectly.
alibaba/fastjson,52652252e7095ecb11bfe8baddd2a087c04fa14e,1ccd0f19e72487545ba01078928b99aebc92505d,feat,No,Business Error,Same Location,1,Project & Domain,431,"Bic adds support for use 'yyy-MM-dd' format, but does not add related configuration judgment at the same time (this logic belongs to a separate control branch, and the original logic has judgment on this configuration)"
alibaba/fastjson,57aff945aae44d0adb86467133b3e3dc19044d5e,a0474391a76536f2d28200e776caf20841d248d2,fix,No,Business Error,Same Method,0,Domain,124,"BIC fixes the problem of losing time zone information when deserializing ISO8601 dates without milliseconds, and loses support for +800 and other dates."
alibaba/fastjson,6326029f04de93af06465090199eb045d7b8eaf8,d8e8cfd71591d2377896972a3fd9a6bc53a6ffe7,fix,No,Business Error,Same Method,0,Project & Domain,547,"BIC attempts to fix issues with generics, but generics support for multi-layer inheritance fails"
alibaba/fastjson,03cd1676a16d00c5e9001379f73e20975516e8cc,adc8642927d5830b841d95637f69340d233dd03f,feat,Invocation,No,Different Packages,0,Project & Domain,952,"Bic adds parsing of object arrays. However, if the Java bean class is too large, the jump address in the bytecode generated by ASMDeserializerFactory may be negative if it exceeds the range that can be represented by unsigned int (involving multiple supporting modifications)."
jdereg/java-util,20cbc65e6dce821d08efa9620f455020635013da,80d61f1a75bb84df798c9442bb22a6a4ca589bd6,feat,No,Business Error,Same Location,1,Project,125,"1) The put of isAppInitialized is unreachable, causing isAppInitialized.contains to be invalid and in an endless loop;"
jdereg/java-util,20cbc65e6dce821d08efa9620f455020635013da,80d61f1a75bb84df798c9442bb22a6a4ca589bd6,feat,No,Business Error,Same Location,1,Project,125,"2) isAppInitialized should not be cleared during clearCache, but it is cleared"
jdereg/java-util,765b42990327d81fb54f6b49e6dbc943b434f675,1fd15f8c9d558b4f7241313ba66e20e8fe7ef4b7,fix,No,API Misuse,Same Class,0,Programming,446,"Bic has modified the add and addAll methods, and the initialization of the iterator is wrong!"
jdereg/java-util,3bc9460ab8cc7db1facc90be0c1d2b695758014c,7ce32e8f52af1d4caf1a78201937b5e0f9b5d503,feat,No,Business Error,Same Method,0,Domain,971,"BIC has improved the equality judgment of collection types (sorted and unsorted), but the judgment of collection and non-collection types is incorrect."
jdereg/java-util,d8a1ed2b783de1a8933234ff19bff4c75467ee54,0eac4e2150b0dd15b12230c568db22d44fd5e636,feat,No,Uncaught Exception,Same Location,1,Project,124,"BIC has been enhanced to add judgments for many cases, and to throw an exception when the cell is empty (instead of correctly handling the empty cell), causing test case exceptions"
google/closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,487d376c923317a183e30fa51d89de5314f802e5,feat,No,Business Error,Same Location,0,Project,124,I want to avoid Jscompiler's optimization by moving $$legacyObjectMapToMap to a separate file. This is a workaround.
google/closure-templates,ffd8586cc39cd5bfb43ec8ddd9a293a999c43003,04922d30cc12a1b52eb6e63cbb217ba2baa78f86,feat,No,API Misuse,Same Location,0,Domain,124,+ in js is non-associative. Changing the combination of operands will lead to different results. The incorrect use of Group.create in bic adds () to the expression.
google/closure-templates,c8858e098f45e874f328a805c980f3f1ed564abe,425a6843f5056f4aa6930e899bdbd37663f8858b,feat,Invocation,No,Same Location,1,Project,1187,"visitArithmeticOpNode is called in visitDivideByOpNode, and visitArithmeticOpNode is changed to computeLowest CommonTypeArithmetic to call getSoyTypeForBinaryOperator, but getSoyTypeForBinaryOperator cannot process String and float"
google/closure-templates,f22140beb890e1cc9ff8fdfe41612dc4301495f7,04e566585cb0282a32e3138d6edebaa29c6367e7,feat,No,Business Error,Same Location,0,Project & Domain,2426,"BFC is a revert of BIC. The test case has an additional ""strict"" for BFC. BIC is passed after it is deleted (specification, added function)"
google/closure-templates,5fb13f9b1fe95c71dddaec499d64d767c8f252d3,2fdda09b1a821d6fa5f176b42190f4787f6159bc,feat,Data Flow,No,Different Packages,1,Project & Domain,7370,"BIC adds support for comments, resulting in an inappropriate number of nodes"
google/closure-templates,1f0f5b630801231fe57a07e1d4f522806329e17c,84e9a1aa4ac47526934c4e7ab69c440925f224e4,perf,No,Business Error,Same Method,0,Programming,1731,BIC uses hash tables to improve performance. It does not take zero msg into account when allocating memory. A large amount of memory will be allocated based on calculations.
google/closure-templates,ed1369a3a6fcaea78d0418af5c696217cd985f05,2d6826df57ce5ffa1a43bddf3b372fe930226ad2,feat,No,Business Error,Same Location,0,Project,1462,BIC adds overloaded vistor methods
google/closure-templates,ffd8586cc39cd5bfb43ec8ddd9a293a999c43003,04922d30cc12a1b52eb6e63cbb217ba2baa78f86,feat,No,API Misuse,Same Location,0,Domain,124,+ in js is non-associative. Changing the combination of operands will lead to different results. The incorrect use of Group.create in bic adds () to the expression.
